dqdx,trklen,y
50025.9,292.82,1
51076.3,116.686,1
52781.7,117.978,1
4448.11,51.0152,1
49234.2,303.534,1
50023.4,110.922,1
47128.4,77.4883,1
59882.1,91.1847,1
50722.9,48.9409,1
55624.8,48.119,1
48262.2,96.964,1
9649.7,160.137,1
47543.7,275.556,1
5686.07,50.0456,1
46566.8,27.6037,1
47998.9,115.961,1
51057.1,197.612,1
52965.3,65.9618,1
50252.4,213.296,1
58906,68.108,1
44549.1,87.8927,1
56532.4,60.8757,1
47696.7,356.465,1
52622.4,70.0626,1
27680.3,68.7212,1
3521.42,88.7685,1
46167.7,383.743,1
47944.4,218.357,1
52530.2,232.913,1
51445.7,235.445,1
49095.7,407.455,1
49985.2,199.037,1
47795.4,130.509,1
46780.3,168.482,1
47788.3,187.382,1
47493.9,71.9888,1
4702.12,126.666,1
48171,129.472,1
32464.3,23.1269,1
52263.4,141.993,1
49764.6,186.566,1
7186.75,35.7236,1
50007.4,304.099,1
47991.4,229.027,1
50034,130.311,1
55112.7,137.375,1
53191,95.3323,1
65865.3,60.0133,1
50706.3,232.858,1
49242.9,416.908,1
50235.4,415.822,1
48699.4,88.4124,1
68521.4,30.2585,1
53746.5,90.887,1
51298.6,141.136,1
49037.7,287.926,1
48979.2,373.401,1
39559,188.89,1
50633.1,240.629,1
47399.9,314.921,1
48962.6,236.045,1
52376.6,123.977,1
49885.1,101.203,1
51330.3,294.407,1
48409.7,292.549,1
50599.2,38.63,1
50274.3,154.451,1
48652,213.558,1
60474.7,54.4672,1
54932.9,136.743,1
55748.4,53.1514,1
49272.8,76.7043,1
57515,29.5317,1
52966.3,112.807,1
54181.1,137.573,1
50338.8,199.536,1
54479.1,99.7761,1
43329.7,101.115,1
49674.1,433.875,1
46815.3,67.9972,1
51906.7,183.822,1
38933.6,132.243,1
51011.6,212.562,1
50953.7,147.976,1
51778.2,476.75,1
48005.3,70.6485,1
52661.9,146.727,1
48018.9,173.316,1
59297.2,78.887,1
56424.2,116.351,1
51422.1,111.679,1
52218,104.142,1
52930.8,179.068,1
48965.4,144.551,1
50257.2,177.329,1
49930.8,198.588,1
51370.4,209.893,1
48491.2,175.868,1
48478.1,199.97,1
50879.6,203.074,1
53066,71.2569,1
52301.8,90.2116,1
6980.16,59.847,1
8482.76,56.0366,1
50053.5,50.2351,1
48252.1,130.834,1
47741.8,192.079,1
51003.3,154.687,1
51565,73.2515,1
51515.4,151.995,1
67669.6,27.0426,1
51260,163.955,1
48816.2,206.453,1
54905.4,54.9665,1
48067.6,39.8892,1
44389.2,48.4166,1
46577.2,45.5989,1
48400.6,44.1608,1
52132.4,207.566,1
47894.3,653.264,1
51213.1,175.674,1
57962.8,42.365,1
48242.7,99.925,1
52260.9,178.165,1
50629.8,151.882,1
